instant;dteday;season;weathersit;temp;atemp;hum;windspeed
367;02/01/12;1;1;0.273043;0.252304;0.381304;0.329665
368;03/01/12;1;1;0.15;0.126275;0.44125;0.365671
369;04/01/12;1;2;0.1075;0.119337;0.414583;0.1847
370;05/01/12;1;1;0.265833;0.278412;0.524167;0.129987
371;06/01/12;1;1;0.334167;0.340267;0.542083;0.167908
372;07/01/12;1;1;0.393333;0.390779;0.531667;0.174758
373;08/01/12;1;1;0.3375;0.340258;0.465;0.191542
374;09/01/12;1;2;0.224167;0.247479;0.701667;0.0989
375;10/01/12;1;1;0.308696;0.318826;0.646522;0.187552
376;11/01/12;1;2;0.274167;0.282821;0.8475;0.131221
377;12/01/12;1;2;0.3825;0.381938;0.802917;0.180967
378;13/01/12;1;1;0.274167;0.249362;0.5075;0.378108
379;14/01/12;1;1;0.18;0.183087;0.4575;0.187183
380;15/01/12;1;1;0.166667;0.161625;0.419167;0.251258
381;16/01/12;1;1;0.19;0.190663;0.5225;0.231358
382;17/01/12;1;2;0.373043;0.364278;0.716087;0.34913
383;18/01/12;1;1;0.303333;0.275254;0.443333;0.415429
384;19/01/12;1;1;0.19;0.190038;0.4975;0.220158
385;20/01/12;1;2;0.2175;0.220958;0.45;0.20275
386;21/01/12;1;2;0.173333;0.174875;0.83125;0.222642
387;22/01/12;1;2;0.1625;0.16225;0.79625;0.199638
388;23/01/12;1;2;0.218333;0.243058;0.91125;0.110708
389;24/01/12;1;1;0.3425;0.349108;0.835833;0.123767
390;25/01/12;1;1;0.294167;0.294821;0.64375;0.161071
391;26/01/12;1;2;0.341667;0.35605;0.769583;0.0733958
392;27/01/12;1;2;0.425;0.415383;0.74125;0.342667
393;28/01/12;1;1;0.315833;0.326379;0.543333;0.210829
394;29/01/12;1;1;0.2825;0.272721;0.31125;0.24005
395;30/01/12;1;1;0.269167;0.262625;0.400833;0.215792
396;31/01/12;1;1;0.39;0.381317;0.416667;0.261817
397;01/02/12;1;1;0.469167;0.466538;0.507917;0.189067
398;02/02/12;1;2;0.399167;0.398971;0.672917;0.187187
399;03/02/12;1;1;0.313333;0.309346;0.526667;0.178496
400;04/02/12;1;2;0.264167;0.272725;0.779583;0.121896
401;05/02/12;1;2;0.265833;0.264521;0.687917;0.175996
402;06/02/12;1;1;0.282609;0.296426;0.622174;0.1538
403;07/02/12;1;1;0.354167;0.361104;0.49625;0.147379
404;08/02/12;1;2;0.256667;0.266421;0.722917;0.133721
405;09/02/12;1;1;0.265;0.261988;0.562083;0.194037
406;10/02/12;1;2;0.280833;0.293558;0.54;0.116929
407;11/02/12;1;3;0.224167;0.210867;0.73125;0.289796
408;12/02/12;1;1;0.1275;0.101658;0.464583;0.409212
409;13/02/12;1;1;0.2225;0.227913;0.41125;0.167283
410;14/02/12;1;2;0.319167;0.333946;0.50875;0.141179
411;15/02/12;1;1;0.348333;0.351629;0.53125;0.1816
412;16/02/12;1;2;0.316667;0.330162;0.752917;0.091425
413;17/02/12;1;1;0.343333;0.351629;0.634583;0.205846
414;18/02/12;1;1;0.346667;0.355425;0.534583;0.190929
415;19/02/12;1;2;0.28;0.265788;0.515833;0.253112
416;20/02/12;1;1;0.28;0.273391;0.507826;0.229083
417;21/02/12;1;1;0.287826;0.295113;0.594348;0.205717
418;22/02/12;1;1;0.395833;0.392667;0.567917;0.234471
419;23/02/12;1;1;0.454167;0.444446;0.554583;0.190913
420;24/02/12;1;2;0.4075;0.410971;0.7375;0.237567
421;25/02/12;1;1;0.290833;0.255675;0.395833;0.421642
422;26/02/12;1;1;0.279167;0.268308;0.41;0.205229
423;27/02/12;1;1;0.366667;0.357954;0.490833;0.268033
424;28/02/12;1;1;0.359167;0.353525;0.395833;0.193417
425;29/02/12;1;2;0.344348;0.34847;0.804783;0.179117
426;01/03/12;1;1;0.485833;0.475371;0.615417;0.226987
427;02/03/12;1;2;0.353333;0.359842;0.657083;0.144904
428;03/03/12;1;2;0.414167;0.413492;0.62125;0.161079
429;04/03/12;1;1;0.325833;0.303021;0.403333;0.334571
430;05/03/12;1;1;0.243333;0.241171;0.50625;0.228858
431;06/03/12;1;1;0.258333;0.255042;0.456667;0.200875
432;07/03/12;1;1;0.404167;0.3851;0.513333;0.345779
433;08/03/12;1;1;0.5275;0.524604;0.5675;0.441563
434;09/03/12;1;2;0.410833;0.397083;0.407083;0.4148
435;10/03/12;1;1;0.2875;0.277767;0.350417;0.22575
436;11/03/12;1;1;0.361739;0.35967;0.476957;0.222587
437;12/03/12;1;1;0.466667;0.459592;0.489167;0.207713
438;13/03/12;1;1;0.565;0.542929;0.6175;0.23695
439;14/03/12;1;1;0.5725;0.548617;0.507083;0.115062
440;15/03/12;1;1;0.5575;0.532825;0.579583;0.149883
441;16/03/12;1;2;0.435833;0.436229;0.842083;0.113192
442;17/03/12;1;2;0.514167;0.505046;0.755833;0.110704
443;18/03/12;1;2;0.4725;0.464;0.81;0.126883
444;19/03/12;1;1;0.545;0.532821;0.72875;0.162317
445;20/03/12;1;1;0.560833;0.538533;0.807917;0.121271
446;21/03/12;2;2;0.531667;0.513258;0.82125;0.0895583
447;22/03/12;2;1;0.554167;0.531567;0.83125;0.117562
448;23/03/12;2;2;0.601667;0.570067;0.694167;0.1163
449;24/03/12;2;2;0.5025;0.486733;0.885417;0.192783
450;25/03/12;2;2;0.4375;0.437488;0.880833;0.220775
451;26/03/12;2;1;0.445833;0.43875;0.477917;0.386821
452;27/03/12;2;1;0.323333;0.315654;0.29;0.187192
453;28/03/12;2;1;0.484167;0.47095;0.48125;0.291671
454;29/03/12;2;1;0.494167;0.482304;0.439167;0.31965
455;30/03/12;2;2;0.37;0.375621;0.580833;0.138067
456;31/03/12;2;2;0.424167;0.421708;0.738333;0.250617
457;01/04/12;2;2;0.425833;0.417287;0.67625;0.172267
458;02/04/12;2;1;0.433913;0.427513;0.504348;0.312139
459;03/04/12;2;1;0.466667;0.461483;0.396667;0.100133
460;04/04/12;2;1;0.541667;0.53345;0.469583;0.180975
461;05/04/12;2;1;0.435;0.431163;0.374167;0.219529
462;06/04/12;2;1;0.403333;0.390767;0.377083;0.300388
463;07/04/12;2;1;0.4375;0.426129;0.254167;0.274871
464;08/04/12;2;1;0.5;0.492425;0.275833;0.232596
465;09/04/12;2;1;0.489167;0.476638;0.3175;0.358196
466;10/04/12;2;1;0.446667;0.436233;0.435;0.249375
467;11/04/12;2;1;0.348696;0.337274;0.469565;0.295274
468;12/04/12;2;1;0.3975;0.387604;0.46625;0.290429
469;13/04/12;2;1;0.4425;0.431808;0.408333;0.155471
470;14/04/12;2;1;0.495;0.487996;0.502917;0.190917
471;15/04/12;2;1;0.606667;0.573875;0.507917;0.225129
472;16/04/12;2;1;0.664167;0.614925;0.561667;0.284829
473;17/04/12;2;1;0.608333;0.598487;0.390417;0.273629
474;18/04/12;2;2;0.463333;0.457038;0.569167;0.167912
475;19/04/12;2;1;0.498333;0.493046;0.6125;0.0659292
476;20/04/12;2;1;0.526667;0.515775;0.694583;0.149871
477;21/04/12;2;1;0.57;0.542921;0.682917;0.283587
478;22/04/12;2;3;0.396667;0.389504;0.835417;0.344546
479;23/04/12;2;2;0.321667;0.301125;0.766667;0.303496
480;24/04/12;2;1;0.413333;0.405283;0.454167;0.249383
481;25/04/12;2;1;0.476667;0.470317;0.427917;0.118792
482;26/04/12;2;2;0.498333;0.483583;0.756667;0.176625
483;27/04/12;2;1;0.4575;0.452637;0.400833;0.347633
484;28/04/12;2;2;0.376667;0.377504;0.489583;0.129975
485;29/04/12;2;1;0.458333;0.450121;0.587083;0.116908
486;30/04/12;2;2;0.464167;0.457696;0.57;0.171638
487;01/05/12;2;2;0.613333;0.577021;0.659583;0.156096
488;02/05/12;2;1;0.564167;0.537896;0.797083;0.138058
489;03/05/12;2;2;0.56;0.537242;0.768333;0.133696
490;04/05/12;2;1;0.6275;0.590917;0.735417;0.162938
491;05/05/12;2;2;0.621667;0.584608;0.756667;0.152992
492;06/05/12;2;2;0.5625;0.546737;0.74;0.149879
493;07/05/12;2;2;0.5375;0.527142;0.664167;0.230721
494;08/05/12;2;2;0.581667;0.557471;0.685833;0.296029
495;09/05/12;2;2;0.575;0.553025;0.744167;0.216412
496;10/05/12;2;1;0.505833;0.491783;0.552083;0.314063
497;11/05/12;2;1;0.533333;0.520833;0.360417;0.236937
498;12/05/12;2;1;0.564167;0.544817;0.480417;0.123133
499;13/05/12;2;1;0.6125;0.585238;0.57625;0.225117
500;14/05/12;2;2;0.573333;0.5499;0.789583;0.212692
501;15/05/12;2;2;0.611667;0.576404;0.794583;0.147392
502;16/05/12;2;1;0.636667;0.595975;0.697917;0.122512
503;17/05/12;2;1;0.593333;0.572613;0.52;0.229475
504;18/05/12;2;1;0.564167;0.551121;0.523333;0.136817
505;19/05/12;2;1;0.6;0.566908;0.45625;0.083975
506;20/05/12;2;1;0.620833;0.583967;0.530417;0.254367
507;21/05/12;2;2;0.598333;0.565667;0.81125;0.233204
508;22/05/12;2;2;0.615;0.580825;0.765833;0.118167
509;23/05/12;2;2;0.621667;0.584612;0.774583;0.102
510;24/05/12;2;1;0.655;0.6067;0.716667;0.172896
511;25/05/12;2;1;0.68;0.627529;0.747083;0.14055
512;26/05/12;2;1;0.6925;0.642696;0.7325;0.198992
513;27/05/12;2;1;0.69;0.641425;0.697083;0.215171
514;28/05/12;2;1;0.7125;0.6793;0.67625;0.196521
515;29/05/12;2;1;0.7225;0.672992;0.684583;0.2954
516;30/05/12;2;2;0.656667;0.611129;0.67;0.134329
517;31/05/12;2;1;0.68;0.631329;0.492917;0.195279
518;01/06/12;2;2;0.654167;0.607962;0.755417;0.237563
519;02/06/12;2;1;0.583333;0.566288;0.549167;0.186562
520;03/06/12;2;1;0.6025;0.575133;0.493333;0.184087
521;04/06/12;2;1;0.5975;0.578283;0.487083;0.284833
522;05/06/12;2;2;0.540833;0.525892;0.613333;0.209575
523;06/06/12;2;1;0.554167;0.542292;0.61125;0.077125
524;07/06/12;2;1;0.6025;0.569442;0.567083;0.15735
525;08/06/12;2;1;0.649167;0.597862;0.467917;0.175383
526;09/06/12;2;1;0.710833;0.648367;0.437083;0.144287
527;10/06/12;2;1;0.726667;0.663517;0.538333;0.133721
528;11/06/12;2;2;0.720833;0.659721;0.587917;0.207713
529;12/06/12;2;2;0.653333;0.597875;0.833333;0.214546
530;13/06/12;2;1;0.655833;0.611117;0.582083;0.343279
531;14/06/12;2;1;0.648333;0.624383;0.569583;0.253733
532;15/06/12;2;1;0.639167;0.599754;0.589583;0.176617
533;16/06/12;2;1;0.631667;0.594708;0.504167;0.166667
534;17/06/12;2;1;0.5925;0.571975;0.59875;0.144904
535;18/06/12;2;2;0.568333;0.544842;0.777917;0.174746
536;19/06/12;2;1;0.688333;0.654692;0.69;0.148017
537;20/06/12;2;1;0.7825;0.720975;0.592083;0.113812
538;21/06/12;3;1;0.805833;0.752542;0.567917;0.118787
539;22/06/12;3;1;0.7775;0.724121;0.57375;0.182842
540;23/06/12;3;1;0.731667;0.652792;0.534583;0.179721
541;24/06/12;3;1;0.743333;0.674254;0.479167;0.145525
542;25/06/12;3;1;0.715833;0.654042;0.504167;0.300383
543;26/06/12;3;1;0.630833;0.594704;0.373333;0.347642
544;27/06/12;3;1;0.6975;0.640792;0.36;0.271775
545;28/06/12;3;1;0.749167;0.675512;0.4225;0.17165
546;29/06/12;3;1;0.834167;0.786613;0.48875;0.165417
547;30/06/12;3;1;0.765;0.687508;0.60125;0.161071
548;01/07/12;3;1;0.815833;0.750629;0.51875;0.168529
549;02/07/12;3;1;0.781667;0.702038;0.447083;0.195267
550;03/07/12;3;1;0.780833;0.70265;0.492083;0.126237
551;04/07/12;3;1;0.789167;0.732337;0.53875;0.13495
552;05/07/12;3;1;0.8275;0.761367;0.457917;0.194029
553;06/07/12;3;1;0.828333;0.752533;0.450833;0.146142
554;07/07/12;3;1;0.861667;0.804913;0.492083;0.163554
555;08/07/12;3;1;0.8225;0.790396;0.57375;0.125629
556;09/07/12;3;2;0.710833;0.654054;0.683333;0.180975
557;10/07/12;3;2;0.720833;0.664796;0.6675;0.151737
558;11/07/12;3;1;0.716667;0.650271;0.633333;0.151733
559;12/07/12;3;1;0.715833;0.654683;0.529583;0.146775
560;13/07/12;3;2;0.731667;0.667933;0.485833;0.08085
561;14/07/12;3;2;0.703333;0.666042;0.699167;0.143679
562;15/07/12;3;1;0.745833;0.705196;0.717917;0.166667
563;16/07/12;3;1;0.763333;0.724125;0.645;0.164187
564;17/07/12;3;1;0.818333;0.755683;0.505833;0.114429
565;18/07/12;3;1;0.793333;0.745583;0.577083;0.137442
566;19/07/12;3;1;0.77;0.714642;0.600417;0.165429
567;20/07/12;3;2;0.665833;0.613025;0.844167;0.208967
568;21/07/12;3;3;0.595833;0.549912;0.865417;0.2133
569;22/07/12;3;2;0.6675;0.623125;0.7625;0.0939208
570;23/07/12;3;1;0.741667;0.690017;0.694167;0.138683
571;24/07/12;3;1;0.750833;0.70645;0.655;0.211454
572;25/07/12;3;1;0.724167;0.654054;0.45;0.1648
573;26/07/12;3;1;0.776667;0.739263;0.596667;0.284813
574;27/07/12;3;1;0.781667;0.734217;0.594583;0.152992
575;28/07/12;3;1;0.755833;0.697604;0.613333;0.15735
576;29/07/12;3;1;0.721667;0.667933;0.62375;0.170396
577;30/07/12;3;1;0.730833;0.684987;0.66875;0.153617
578;31/07/12;3;1;0.713333;0.662896;0.704167;0.165425
579;01/08/12;3;1;0.7175;0.667308;0.6775;0.141179
580;02/08/12;3;1;0.7525;0.707088;0.659583;0.129354
581;03/08/12;3;2;0.765833;0.722867;0.6425;0.215792
582;04/08/12;3;1;0.793333;0.751267;0.613333;0.257458
583;05/08/12;3;1;0.769167;0.731079;0.6525;0.290421
584;06/08/12;3;2;0.7525;0.710246;0.654167;0.129354
585;07/08/12;3;2;0.735833;0.697621;0.70375;0.116908
586;08/08/12;3;2;0.75;0.707717;0.672917;0.1107
587;09/08/12;3;1;0.755833;0.699508;0.620417;0.1561
588;10/08/12;3;2;0.715833;0.667942;0.715833;0.238813
589;11/08/12;3;2;0.6925;0.638267;0.732917;0.206479
590;12/08/12;3;1;0.700833;0.644579;0.530417;0.122512
591;13/08/12;3;1;0.720833;0.662254;0.545417;0.136212
592;14/08/12;3;1;0.726667;0.676779;0.686667;0.169158
593;15/08/12;3;1;0.706667;0.654037;0.619583;0.169771
594;16/08/12;3;1;0.719167;0.654688;0.519167;0.141796
595;17/08/12;3;1;0.723333;0.2424;0.570833;0.231354
596;18/08/12;3;1;0.678333;0.618071;0.603333;0.177867
597;19/08/12;3;2;0.635833;0.603554;0.711667;0.08645
598;20/08/12;3;2;0.635833;0.595967;0.734167;0.129979
599;21/08/12;3;1;0.649167;0.601025;0.67375;0.0727708
600;22/08/12;3;1;0.6675;0.621854;0.677083;0.0702833
601;23/08/12;3;1;0.695833;0.637008;0.635833;0.0845958
602;24/08/12;3;2;0.7025;0.6471;0.615;0.0721458
603;25/08/12;3;2;0.661667;0.618696;0.712917;0.244408
604;26/08/12;3;2;0.653333;0.595996;0.845833;0.228858
605;27/08/12;3;1;0.703333;0.654688;0.730417;0.128733
606;28/08/12;3;1;0.728333;0.66605;0.62;0.190925
607;29/08/12;3;1;0.685;0.635733;0.552083;0.112562
608;30/08/12;3;1;0.706667;0.652779;0.590417;0.0771167
609;31/08/12;3;1;0.764167;0.6894;0.5875;0.168533
610;01/09/12;3;2;0.753333;0.702654;0.638333;0.113187
611;02/09/12;3;2;0.696667;0.649;0.815;0.0640708
612;03/09/12;3;1;0.7075;0.661629;0.790833;0.151121
613;04/09/12;3;1;0.725833;0.686888;0.755;0.236321
614;05/09/12;3;1;0.736667;0.708983;0.74125;0.187808
615;06/09/12;3;2;0.696667;0.655329;0.810417;0.142421
616;07/09/12;3;1;0.703333;0.657204;0.73625;0.171646
617;08/09/12;3;2;0.659167;0.611121;0.799167;0.281104
618;09/09/12;3;1;0.61;0.578925;0.5475;0.224496
619;10/09/12;3;1;0.583333;0.565654;0.50375;0.258713
620;11/09/12;3;1;0.5775;0.554292;0.52;0.0920542
621;12/09/12;3;1;0.599167;0.570075;0.577083;0.131846
622;13/09/12;3;1;0.6125;0.579558;0.637083;0.0827208
623;14/09/12;3;1;0.633333;0.594083;0.6725;0.103863
624;15/09/12;3;1;0.608333;0.585867;0.501667;0.247521
625;16/09/12;3;1;0.58;0.563125;0.57;0.0901833
626;17/09/12;3;2;0.580833;0.55305;0.734583;0.151742
627;18/09/12;3;2;0.623333;0.565067;0.8725;0.357587
628;19/09/12;3;1;0.5525;0.540404;0.536667;0.215175
629;20/09/12;3;1;0.546667;0.532192;0.618333;0.118167
630;21/09/12;3;1;0.599167;0.571971;0.66875;0.154229
631;22/09/12;3;1;0.65;0.610488;0.646667;0.283583
632;23/09/12;4;1;0.529167;0.518933;0.467083;0.223258
633;24/09/12;4;1;0.514167;0.502513;0.492917;0.142404
634;25/09/12;4;1;0.55;0.544179;0.57;0.236321
635;26/09/12;4;1;0.635;0.596613;0.630833;0.2444
636;27/09/12;4;2;0.65;0.607975;0.690833;0.134342
637;28/09/12;4;2;0.619167;0.585863;0.69;0.164179
638;29/09/12;4;1;0.5425;0.530296;0.542917;0.227604
639;30/09/12;4;1;0.526667;0.517663;0.583333;0.134958
640;01/10/12;4;2;0.520833;0.512;0.649167;0.0908042
641;02/10/12;4;3;0.590833;0.542333;0.871667;0.104475
642;03/10/12;4;2;0.6575;0.599133;0.79375;0.0665458
643;04/10/12;4;2;0.6575;0.607975;0.722917;0.117546
644;05/10/12;4;1;0.615;0.580187;0.6275;0.10635
645;06/10/12;4;1;0.554167;0.538521;0.664167;0.268025
646;07/10/12;4;2;0.415833;0.419813;0.708333;0.141162
647;08/10/12;4;2;0.383333;0.387608;0.709583;0.189679
648;09/10/12;4;2;0.446667;0.438112;0.761667;0.1903
649;10/10/12;4;1;0.514167;0.503142;0.630833;0.187821
650;11/10/12;4;1;0.435;0.431167;0.463333;0.181596
651;12/10/12;4;1;0.4375;0.433071;0.539167;0.235092
652;13/10/12;4;1;0.393333;0.391396;0.494583;0.146142
653;14/10/12;4;1;0.521667;0.508204;0.640417;0.278612
654;15/10/12;4;2;0.561667;0.53915;0.7075;0.296037
655;16/10/12;4;1;0.468333;0.460846;0.558333;0.182221
656;17/10/12;4;1;0.455833;0.450108;0.692917;0.101371
657;18/10/12;4;2;0.5225;0.512625;0.728333;0.236937
658;19/10/12;4;2;0.563333;0.537896;0.815;0.134954
659;20/10/12;4;1;0.484167;0.472842;0.572917;0.117537
660;21/10/12;4;1;0.464167;0.456429;0.51;0.166054
661;22/10/12;4;1;0.4875;0.482942;0.568333;0.0814833
662;23/10/12;4;1;0.544167;0.530304;0.641667;0.0945458
663;24/10/12;4;1;0.5875;0.558721;0.63625;0.0727792
664;25/10/12;4;2;0.55;0.529688;0.800417;0.124375
665;26/10/12;4;2;0.545833;0.52275;0.807083;0.132467
666;27/10/12;4;2;0.53;0.515133;0.72;0.235692
667;28/10/12;4;2;0.4775;0.467771;0.694583;0.398008
668;29/10/12;4;3;0.44;0.4394;0.88;0.3582
669;30/10/12;4;2;0.318182;0.309909;0.825455;0.213009
670;31/10/12;4;2;0.3575;0.3611;0.666667;0.166667
671;01/11/12;4;2;0.365833;0.369942;0.581667;0.157346
672;02/11/12;4;1;0.355;0.356042;0.522083;0.266175
673;03/11/12;4;2;0.343333;0.323846;0.49125;0.270529
674;04/11/12;4;1;0.325833;0.329538;0.532917;0.179108
675;05/11/12;4;1;0.319167;0.308075;0.494167;0.236325
676;06/11/12;4;1;0.280833;0.281567;0.567083;0.173513
677;07/11/12;4;2;0.295833;0.274621;0.5475;0.304108
678;08/11/12;4;1;0.352174;0.341891;0.333478;0.347835
679;09/11/12;4;1;0.361667;0.355413;0.540833;0.214558
680;10/11/12;4;1;0.389167;0.393937;0.645417;0.0578458
681;11/11/12;4;1;0.420833;0.421713;0.659167;0.1275
682;12/11/12;4;1;0.485;0.475383;0.741667;0.173517
683;13/11/12;4;2;0.343333;0.323225;0.662917;0.342046
684;14/11/12;4;1;0.289167;0.281563;0.552083;0.199625
685;15/11/12;4;2;0.321667;0.324492;0.620417;0.152987
686;16/11/12;4;1;0.345;0.347204;0.524583;0.171025
687;17/11/12;4;1;0.325;0.326383;0.545417;0.179729
688;18/11/12;4;1;0.3425;0.337746;0.692917;0.227612
689;19/11/12;4;2;0.380833;0.375621;0.623333;0.235067
690;20/11/12;4;2;0.374167;0.380667;0.685;0.082725
691;21/11/12;4;1;0.353333;0.364892;0.61375;0.103246
692;22/11/12;4;1;0.34;0.350371;0.580417;0.0528708
693;23/11/12;4;1;0.368333;0.378779;0.56875;0.148021
694;24/11/12;4;1;0.278333;0.248742;0.404583;0.376871
695;25/11/12;4;1;0.245833;0.257583;0.468333;0.1505
696;26/11/12;4;1;0.313333;0.339004;0.535417;0.04665
697;27/11/12;4;2;0.291667;0.281558;0.786667;0.237562
698;28/11/12;4;1;0.296667;0.289762;0.50625;0.210821
699;29/11/12;4;1;0.28087;0.298422;0.555652;0.115522
700;30/11/12;4;1;0.298333;0.323867;0.649583;0.0584708
701;01/12/12;4;2;0.298333;0.316904;0.806667;0.0597042
702;02/12/12;4;2;0.3475;0.359208;0.823333;0.124379
703;03/12/12;4;1;0.4525;0.455796;0.7675;0.0827208
704;04/12/12;4;1;0.475833;0.469054;0.73375;0.174129
705;05/12/12;4;1;0.438333;0.428012;0.485;0.324021
706;06/12/12;4;1;0.255833;0.258204;0.50875;0.174754
707;07/12/12;4;2;0.320833;0.321958;0.764167;0.1306
708;08/12/12;4;2;0.381667;0.389508;0.91125;0.101379
709;09/12/12;4;2;0.384167;0.390146;0.905417;0.157975
710;10/12/12;4;2;0.435833;0.435575;0.925;0.190308
711;11/12/12;4;2;0.353333;0.338363;0.596667;0.296037
712;12/12/12;4;2;0.2975;0.297338;0.538333;0.162937
713;13/12/12;4;1;0.295833;0.294188;0.485833;0.174129
714;14/12/12;4;1;0.281667;0.294192;0.642917;0.131229
715;15/12/12;4;1;0.324167;0.338383;0.650417;0.10635
716;16/12/12;4;2;0.3625;0.369938;0.83875;0.100742
717;17/12/12;4;2;0.393333;0.4015;0.907083;0.0982583
718;18/12/12;4;1;0.410833;0.409708;0.66625;0.221404
719;19/12/12;4;1;0.3325;0.342162;0.625417;0.184092
720;20/12/12;4;2;0.33;0.335217;0.667917;0.132463
721;21/12/12;1;2;0.326667;0.301767;0.556667;0.374383
722;22/12/12;1;1;0.265833;0.236113;0.44125;0.407346
723;23/12/12;1;1;0.245833;0.259471;0.515417;0.133083
724;24/12/12;1;2;0.231304;0.2589;0.791304;0.0772304
725;25/12/12;1;2;0.291304;0.294465;0.734783;0.168726
726;26/12/12;1;3;0.243333;0.220333;0.823333;0.316546
727;27/12/12;1;2;0.254167;0.226642;0.652917;0.350133
728;28/12/12;1;2;0.253333;0.255046;0.59;0.155471
729;29/12/12;1;2;0.253333;0.2424;0.752917;0.124383
730;30/12/12;1;1;0.255833;0.2317;0.483333;0.350754
731;31/12/12;1;2;0.215833;0.223487;0.5775;0.154846