LotArea,LotFrontage,BldgType,OverallQual,OverallCond,YearBuilt,HeatingQC,Label
8450,65.0,1Fam,7.0,5,2003,Ex,normal
9600,80.0,1Fam,6.0,8,1976,Ex,normal
11250,68.0,1Fam,7.0,5,2001,Ex,expensive
9550,60.0,1Fam,7.0,5,1915,Gd,normal
14260,84.0,1Fam,8.0,5,2000,Ex,expensive
14115,85.0,1Fam,5.0,5,1993,Ex,normal
10084,75.0,1Fam,8.0,5,2004,Ex,expensive
10382,,1Fam,7.0,6,1973,Ex,normal
6120,51.0,1Fam,7.0,5,1931,Gd,cheap
7420,50.0,2fmCon,5.0,6,-491,Ex,cheap
11200,70.0,1Fam,5.0,5,1965,Ex,cheap
11924,85.0,1Fam,9.0,5,2005,Ex,expensive
12968,,1Fam,5.0,6,1962,TA,normal
10652,91.0,1Fam,7.0,5,2006,Ex,expensive
10920,,1Fam,6.0,5,1960,TA,normal
6120,51.0,1Fam,7.0,8,1929,Ex,cheap
11241,,1Fam,6.0,7,1970,Ex,normal
10791,72.0,Duplex,4.0,5,1967,TA,cheap
13695,66.0,1Fam,5.0,5,2004,Ex,normal
7560,70.0,1Fam,5.0,6,1958,TA,cheap
14215,101.0,1Fam,8.0,5,2005,Ex,expensive
7449,57.0,1Fam,7.0,7,1930,Ex,cheap
9742,75.0,1Fam,8.0,5,2002,Ex,expensive
4224,44.0,TwnhsE,5.0,7,1976,TA,cheap
8246,,1Fam,5.0,8,1968,Ex,normal
14230,110.0,1Fam,8.0,5,2007,Ex,expensive
7200,60.0,1Fam,5.0,7,1951,TA,cheap
11478,98.0,1Fam,8.0,5,2007,Ex,expensive
16321,47.0,1Fam,5.0,6,1957,TA,normal
6324,60.0,,4.0,6,1927,Fa,cheap
8500,50.0,1Fam,4.0,4,1920,TA,cheap
8544,,1Fam,5.0,6,1966,Gd,normal
11049,85.0,1Fam,8.0,5,2007,Ex,normal
10552,70.0,1Fam,5.0,5,1959,Gd,normal
7313,60.0,TwnhsE,9.0,5,2005,Ex,expensive
13418,108.0,1Fam,8.0,5,-489,Ex,expensive
10859,112.0,1Fam,,5,1994,Ex,normal
8532,74.0,1Fam,5.0,6,1954,Gd,normal
7922,68.0,1Fam,5.0,7,1953,TA,cheap
6040,65.0,Duplex,4.0,5,1955,TA,cheap
8658,84.0,1Fam,6.0,5,1965,Ex,normal
16905,115.0,1Fam,5.0,6,1959,Gd,normal
9180,,1Fam,5.0,7,1983,Gd,normal
9200,,1Fam,5.0,6,1975,TA,cheap
7945,70.0,1Fam,5.0,6,1959,Ex,normal
7658,61.0,,9.0,5,2005,Ex,expensive
12822,48.0,1Fam,7.0,5,2003,Ex,expensive
11096,84.0,1Fam,8.0,5,2006,Ex,expensive
4456,33.0,2fmCon,,5,1920,Gd,cheap
7742,66.0,1Fam,5.0,7,1966,Ex,cheap
13869,,,6.0,6,1997,Gd,normal
6240,52.0,1Fam,6.0,6,1934,TA,cheap
8472,110.0,Duplex,5.0,5,1963,TA,cheap
50271,68.0,1Fam,9.0,5,1981,Gd,expensive
7134,60.0,1Fam,5.0,5,1955,TA,cheap
10175,100.0,1Fam,6.0,5,1964,Gd,normal
2645,24.0,Twnhs,8.0,5,1999,Ex,normal
11645,89.0,1Fam,7.0,5,2004,Ex,normal
13682,66.0,1Fam,10.0,5,2006,Ex,expensive
7200,60.0,,5.0,7,1972,Ex,cheap
13072,63.0,1Fam,6.0,5,2004,Ex,normal
7200,60.0,1Fam,5.0,7,1920,TA,cheap
6442,44.0,TwnhsE,8.0,5,2006,Ex,normal
10300,50.0,,7.0,6,1921,Gd,normal
9375,,1Fam,7.0,5,1997,Ex,expensive
9591,76.0,1Fam,8.0,5,2004,Ex,expensive
19900,,1Fam,7.0,5,1970,TA,normal
10665,72.0,1Fam,7.0,5,2003,Ex,expensive
4608,47.0,1Fam,4.0,6,1945,TA,cheap
15593,81.0,,7.0,4,1953,TA,expensive
13651,95.0,1Fam,7.0,6,1973,Ex,expensive
7599,69.0,1Fam,,6,1982,TA,cheap
10141,74.0,1Fam,,5,1998,Gd,normal
10200,85.0,1Fam,5.0,7,1954,Gd,normal
5790,60.0,1Fam,3.0,6,1915,Gd,cheap
1596,21.0,Twnhs,4.0,5,1973,TA,cheap
8475,,1Fam,4.0,7,1956,Ex,cheap
8635,50.0,1Fam,5.0,5,1948,TA,cheap
10778,72.0,,4.0,5,1968,TA,cheap
10440,60.0,1Fam,5.0,6,1910,Gd,cheap
13000,100.0,1Fam,6.0,6,1968,TA,normal
4500,32.0,,6.0,5,1998,Ex,normal
10206,78.0,1Fam,8.0,5,-226,Ex,expensive
8892,80.0,1Fam,5.0,5,1960,Gd,cheap
8530,,1Fam,7.0,5,1995,Gd,normal
16059,121.0,1Fam,8.0,5,1991,Ex,expensive
11911,122.0,1Fam,6.0,5,2005,Ex,normal
3951,40.0,TwnhsE,6.0,5,2009,Ex,normal
8470,105.0,1Fam,3.0,2,1915,TA,cheap
8070,60.0,,4.0,5,1994,Ex,cheap
7200,60.0,1Fam,4.0,5,1950,TA,cheap
8500,85.0,1Fam,5.0,3,1961,TA,cheap
13360,80.0,1Fam,5.0,7,1921,Ex,normal
7200,60.0,2fmCon,6.0,6,1910,Ex,cheap
9337,69.0,1Fam,6.0,5,1997,Ex,normal
9765,,1Fam,6.0,8,1993,Gd,normal
10264,78.0,,,5,1999,Ex,expensive
10921,73.0,1Fam,4.0,5,1965,TA,cheap
10625,85.0,1Fam,5.0,5,1920,Fa,cheap
9320,77.0,1Fam,4.0,5,1959,Fa,cheap
10603,,1Fam,,7,1977,Gd,normal
9206,77.0,1Fam,6.0,5,1985,TA,normal
7018,64.0,Duplex,5.0,5,1979,TA,cheap
10402,94.0,1Fam,7.0,5,2009,Ex,normal
7758,,1Fam,7.0,4,1931,Ex,normal
9375,75.0,1Fam,8.0,5,2003,Ex,expensive
10800,60.0,1Fam,4.0,7,1885,Gd,cheap
6000,50.0,1Fam,5.0,5,1948,Ex,cheap
8500,85.0,1Fam,5.0,7,1919,TA,cheap
11751,105.0,1Fam,,6,1977,Ex,normal
9525,75.0,1Fam,6.0,4,1954,Gd,cheap
7750,,1Fam,7.0,5,2000,Ex,normal
9965,77.0,1Fam,7.0,5,2007,Ex,expensive
21000,,1Fam,6.0,5,1953,TA,expensive
7259,61.0,1Fam,6.0,8,1945,Ex,expensive
3230,34.0,TwnhsE,6.0,5,1999,Gd,normal
11616,,1Fam,5.0,5,1962,TA,cheap
8536,74.0,1Fam,5.0,5,2006,Gd,normal
12376,90.0,1Fam,7.0,5,1990,Gd,expensive
8461,65.0,1Fam,6.0,5,2005,Ex,normal
21453,,1Fam,6.0,5,1969,Ex,normal
6060,50.0,1Fam,4.0,5,1939,Gd,cheap
9464,75.0,1Fam,6.0,7,1958,Gd,cheap
7892,55.0,TwnhsE,6.0,5,1993,Ex,normal
17043,48.0,1Fam,6.0,5,1979,TA,normal
6780,60.0,2fmCon,6.0,8,1935,Gd,cheap
4928,,TwnhsE,6.0,5,1976,TA,cheap
4388,55.0,1Fam,5.0,7,1930,Ex,cheap
7590,69.0,1Fam,,5,1966,TA,normal
8973,69.0,,5.0,7,1958,TA,normal
14200,88.0,1Fam,7.0,6,1966,Ex,expensive
12224,,1Fam,6.0,5,2000,Ex,expensive
7388,75.0,1Fam,5.0,6,1959,Gd,normal
6853,,1Fam,,5,2001,Ex,expensive
10335,78.0,1Fam,5.0,6,1968,Gd,normal
10400,80.0,1Fam,7.0,6,1970,Gd,normal
10355,,1Fam,5.0,5,1967,TA,normal
11070,82.0,Duplex,7.0,5,1988,Gd,normal
9066,73.0,1Fam,8.0,5,1999,Ex,expensive
15426,65.0,1Fam,,5,1997,Ex,expensive
10500,70.0,1Fam,4.0,5,1971,TA,cheap
11645,78.0,1Fam,,5,2005,Ex,expensive
8520,71.0,1Fam,,4,1952,Fa,normal
10335,78.0,1Fam,7.0,5,1999,Ex,normal
9100,70.0,Duplex,5.0,5,1963,TA,cheap
2522,24.0,Twnhs,6.0,5,2457,Ex,cheap
6120,51.0,1Fam,5.0,7,1931,TA,cheap
9505,,1Fam,7.0,5,2001,Ex,expensive
7500,63.0,1Fam,7.0,5,2004,Ex,normal
6240,,1Fam,5.0,4,1936,Gd,cheap
10356,120.0,1Fam,5.0,6,1975,TA,cheap
13891,107.0,1Fam,,5,2007,Ex,expensive
14803,,1Fam,6.0,5,1971,Gd,normal
13500,,1Fam,6.0,7,1960,Gd,expensive
11340,84.0,1Fam,6.0,5,1923,TA,cheap
9600,60.0,1Fam,6.0,5,1924,Fa,cheap
7200,60.0,1Fam,5.0,7,1950,TA,cheap
12003,92.0,1Fam,8.0,5,2009,Ex,expensive
12552,100.0,1Fam,7.0,5,2004,Ex,expensive
19378,134.0,1Fam,,5,2005,Ex,expensive
11120,,1Fam,6.0,6,1984,TA,normal
13688,110.0,1Fam,9.0,5,-244,Ex,expensive
12182,95.0,1Fam,7.0,5,2005,Ex,expensive
5500,55.0,1Fam,4.0,6,1956,Ex,cheap
5400,40.0,1Fam,6.0,7,1926,Gd,normal
10106,62.0,2fmCon,5.0,7,1940,Gd,cheap
10708,,1Fam,5.0,5,1955,Ex,normal
10562,86.0,1Fam,8.0,5,2007,Ex,expensive
8244,62.0,1Fam,7.0,5,2004,Ex,normal
16669,,1Fam,8.0,6,1981,TA,expensive
12358,,1Fam,5.0,6,1941,TA,cheap
31770,141.0,1Fam,6.0,5,1960,Fa,expensive
5306,44.0,TwnhsE,7.0,7,1987,Gd,expensive
10197,80.0,1Fam,6.0,5,1961,TA,normal
12416,47.0,1Fam,6.0,5,1986,TA,normal
12615,84.0,1Fam,6.0,7,1950,TA,expensive
10029,97.0,1Fam,6.0,5,1988,TA,normal
13650,,1Fam,5.0,5,1958,Ex,normal
17423,63.0,1Fam,9.0,5,2008,Ex,expensive
8520,60.0,1Fam,5.0,6,1923,TA,cheap
2117,,,6.0,5,2000,Ex,normal
7588,54.0,1Fam,7.0,6,1920,Gd,normal
9060,60.0,1Fam,5.0,6,1957,Ex,cheap
11426,63.0,1Fam,7.0,5,2003,Ex,normal
7438,92.0,1Fam,5.0,8,1908,Gd,cheap
22950,90.0,1Fam,10.0,9,1892,Ex,expensive
9947,,1Fam,7.0,5,1990,Ex,normal
10410,60.0,1Fam,5.0,7,1916,Ex,cheap
7018,64.0,Duplex,5.0,5,1979,TA,normal
4923,41.0,TwnhsE,8.0,5,2001,Ex,expensive
10570,70.0,1Fam,8.0,8,1932,TA,expensive
7472,,1Fam,7.0,9,1972,Gd,normal
9017,68.0,1Fam,7.0,5,1999,Ex,normal
2522,24.0,Twnhs,7.0,5,2004,Ex,cheap
7180,60.0,1Fam,5.0,7,1972,TA,cheap
2280,24.0,Twnhs,6.0,6,1976,TA,normal
9416,79.0,1Fam,7.0,5,2007,Ex,expensive
25419,174.0,1Fam,,4,1918,Gd,expensive
5520,92.0,1Fam,6.0,6,1912,Ex,cheap
9591,76.0,1Fam,8.0,5,2004,Ex,expensive
8546,80.0,1Fam,4.0,5,2003,Ex,normal
10125,75.0,1Fam,6.0,6,1977,TA,normal
7000,50.0,1Fam,6.0,6,1924,Gd,cheap
4438,,TwnhsE,6.0,5,2004,Ex,normal
3500,50.0,1Fam,5.0,7,1947,TA,cheap
11851,99.0,1Fam,7.0,5,1990,Ex,normal
13673,40.0,1Fam,5.0,5,1962,TA,normal
12493,,1Fam,4.0,5,1960,TA,normal
14364,,1Fam,7.0,5,1988,Ex,expensive
8250,75.0,1Fam,6.0,7,1964,Ex,normal
5604,67.0,1Fam,5.0,6,1925,TA,cheap
10420,83.0,1Fam,6.0,5,2009,Ex,normal
8640,72.0,1Fam,7.0,5,2009,Ex,expensive
13568,43.0,1Fam,5.0,5,1995,Ex,normal
10900,,1Fam,6.0,7,1977,Ex,normal
10011,72.0,1Fam,5.0,6,1957,TA,cheap
8450,65.0,1Fam,7.0,5,2004,Ex,normal
9906,57.0,1Fam,4.0,4,1925,Fa,cheap
15660,,1Fam,7.0,9,1939,Ex,expensive
3010,43.0,TwnhsE,,5,2005,Ex,normal
8990,73.0,1Fam,,5,2006,Ex,normal
8068,,,6.0,5,2002,Ex,normal
11475,85.0,1Fam,6.0,6,1975,TA,normal
10500,70.0,1Fam,4.0,6,1971,Gd,cheap
13472,103.0,1Fam,10.0,5,2003,Ex,expensive
1680,21.0,Twnhs,5.0,5,1971,TA,cheap
9950,82.0,1Fam,7.0,5,1995,Ex,expensive
1869,21.0,Twnhs,6.0,6,1970,TA,cheap
8521,70.0,1Fam,5.0,5,1967,TA,cheap
3182,43.0,TwnhsE,7.0,5,2005,Ex,normal
8760,73.0,1Fam,6.0,6,1959,TA,normal
15138,174.0,1Fam,8.0,5,1995,Ex,expensive
1680,21.0,Twnhs,6.0,5,1972,TA,cheap
10650,75.0,1Fam,5.0,6,1976,TA,cheap
7851,,1Fam,6.0,5,2002,Ex,expensive
1680,21.0,TwnhsE,6.0,3,1971,TA,cheap
8773,65.0,1Fam,7.0,5,2004,Ex,normal
9453,,1Fam,7.0,7,1993,Ex,normal
12030,93.0,1Fam,8.0,5,2007,Ex,expensive
8741,52.0,1Fam,6.0,4,1945,TA,cheap
9000,75.0,1Fam,8.0,5,2008,Ex,expensive
3880,40.0,1Fam,5.0,9,1945,Gd,cheap
5000,63.0,1Fam,5.0,4,1900,Gd,cheap
10762,75.0,TwnhsE,,6,1980,TA,cheap
8880,,1Fam,7.0,5,1994,Ex,normal
10400,80.0,1Fam,7.0,5,1988,Gd,expensive
9142,69.0,2fmCon,6.0,8,1910,Gd,cheap
11310,75.0,1Fam,6.0,5,1954,Ex,normal
11317,72.0,1Fam,7.0,5,2003,Ex,normal
159000,,,6.0,7,1958,Gd,expensive
5350,55.0,1Fam,3.0,2,1940,Ex,cheap
4750,44.0,TwnhsE,8.0,5,2006,Ex,expensive
8366,65.0,1Fam,6.0,5,2004,Ex,normal
9350,85.0,1Fam,6.0,7,1964,Ex,normal
8400,70.0,1Fam,5.0,6,1957,TA,normal
8738,66.0,1Fam,7.0,5,1999,Ex,expensive
8791,64.0,,6.0,5,2003,Ex,normal
8814,68.0,1Fam,7.0,5,2006,Ex,expensive
12435,80.0,1Fam,7.0,5,2001,Ex,expensive
12702,70.0,1Fam,5.0,5,1956,Gd,cheap
19296,120.0,1Fam,6.0,5,1962,TA,normal
9588,69.0,1Fam,8.0,5,2007,Ex,expensive
8471,88.0,1Fam,6.0,7,1977,TA,normal
5500,50.0,1Fam,5.0,7,1929,TA,cheap
5232,30.0,1Fam,5.0,5,1925,Gd,cheap
12090,78.0,1Fam,6.0,6,1981,TA,normal
11207,70.0,1Fam,6.0,5,1997,Gd,normal
8400,60.0,1Fam,5.0,8,1939,Ex,normal
6900,71.0,1Fam,5.0,6,1940,Ex,cheap
7917,,1Fam,6.0,7,1976,TA,normal
10728,84.0,1Fam,8.0,5,2006,Gd,expensive
39104,73.0,,7.0,7,1954,Ex,expensive
11764,92.0,1Fam,8.0,7,1999,Ex,expensive
9600,80.0,1Fam,6.0,6,1958,Gd,cheap
8314,76.0,1Fam,5.0,7,1982,TA,cheap
7264,55.0,1Fam,7.0,7,1925,Gd,normal
9196,129.0,1Fam,7.0,5,2003,Ex,normal
19138,140.0,1Fam,4.0,5,1951,Ex,normal
14450,107.0,1Fam,9.0,5,2006,Ex,expensive
10005,83.0,1Fam,7.0,5,1977,Ex,normal
11287,82.0,1Fam,,6,1989,Gd,expensive
7200,60.0,1Fam,6.0,5,2006,Gd,normal
5063,34.0,Twnhs,7.0,5,2007,Ex,normal
9612,74.0,1Fam,8.0,5,2008,Ex,expensive
8012,50.0,TwnhsE,,5,1992,Gd,normal
4251,35.0,TwnhsE,7.0,5,2006,Ex,normal
9786,77.0,1Fam,6.0,7,1962,TA,normal
8125,,1Fam,4.0,4,1971,TA,cheap
9819,,1Fam,5.0,5,1967,TA,cheap
8730,60.0,1Fam,6.0,7,1915,Ex,normal
15611,120.0,1Fam,8.0,5,2006,Ex,expensive
5687,55.0,2fmCon,5.0,6,1912,Ex,cheap
11409,60.0,1Fam,5.0,4,1949,Gd,cheap
16659,,1Fam,7.0,7,1977,Fa,expensive
9600,80.0,1Fam,6.0,5,1953,TA,normal
7937,37.0,1Fam,6.0,6,1984,TA,normal
13710,75.0,1Fam,5.0,5,1950,TA,normal
7399,66.0,1Fam,7.0,5,1997,Ex,expensive
11700,90.0,1Fam,,6,1968,Gd,normal
14000,80.0,1Fam,6.0,8,1950,Ex,normal
15750,90.0,2fmCon,5.0,5,1953,TA,normal
16226,66.0,1Fam,8.0,5,1998,Ex,expensive
13704,118.0,1Fam,7.0,5,2001,Ex,normal
9800,70.0,1Fam,5.0,7,1972,TA,normal
18386,87.0,1Fam,7.0,9,1880,Ex,expensive
10386,80.0,1Fam,8.0,5,2004,Ex,expensive
13474,116.0,1Fam,7.0,5,1990,Gd,expensive
7920,,1Fam,6.0,7,1920,TA,cheap
12342,,,4.0,5,1940,Ex,cheap
12378,90.0,1Fam,9.0,5,2003,Ex,expensive
7685,,1Fam,6.0,5,1993,Gd,normal
8000,50.0,1Fam,,6,-385,Ex,cheap
7800,65.0,2fmCon,5.0,7,1939,TA,cheap
215245,150.0,1Fam,7.0,5,1965,TA,expensive
9600,60.0,1Fam,7.0,7,1925,Ex,normal
7795,71.0,1Fam,7.0,5,2004,Ex,normal
13005,94.0,1Fam,7.0,7,1980,TA,expensive
9000,75.0,1Fam,8.0,5,2006,Ex,expensive
9900,90.0,1Fam,7.0,5,1993,Ex,expensive
14115,,1Fam,7.0,5,1980,TA,normal
16259,111.0,1Fam,9.0,5,2006,Ex,expensive
12099,99.0,1Fam,8.0,5,2004,Ex,expensive
10380,86.0,1Fam,7.0,5,1986,Ex,expensive
5820,49.0,1Fam,3.0,8,1955,Ex,cheap
11275,96.0,1Fam,7.0,7,1967,Ex,expensive
5000,50.0,1Fam,5.0,6,1941,Po,cheap
10846,32.0,TwnhsE,8.0,5,1993,Ex,expensive
11600,80.0,1Fam,6.0,5,-472,TA,normal
11888,,1Fam,,6,1916,Gd,expensive
6402,60.0,1Fam,5.0,5,1920,TA,cheap
10624,,Duplex,5.0,4,1964,TA,cheap
8176,70.0,1Fam,5.0,6,1958,Fa,cheap
10655,85.0,1Fam,8.0,5,2003,Ex,expensive
8198,59.0,TwnhsE,7.0,5,2004,Ex,normal
9042,59.0,1Fam,6.0,5,1998,Gd,normal
164660,,2fmCon,5.0,6,1965,Ex,expensive
14157,86.0,1Fam,9.0,5,-464,Ex,expensive
9135,70.0,1Fam,7.0,5,2002,Ex,expensive
14145,91.0,1Fam,7.0,7,1984,Ex,normal
12400,66.0,1Fam,6.0,7,1958,TA,normal
14191,85.0,1Fam,8.0,5,2002,Ex,normal
8400,60.0,1Fam,4.0,4,1950,Gd,cheap
8544,,Duplex,3.0,4,1949,Fa,cheap
8849,63.0,TwnhsE,9.0,5,2005,Ex,expensive
2592,36.0,TwnhsE,5.0,3,1976,TA,cheap
6435,65.0,1Fam,6.0,5,1939,Gd,normal
12772,,1Fam,6.0,8,1960,TA,normal
17600,,1Fam,6.0,5,1960,Ex,normal
2448,36.0,Twnhs,7.0,5,2003,Ex,normal
20431,56.0,1Fam,9.0,5,2005,Ex,expensive
7820,68.0,TwnhsE,9.0,5,2007,Ex,expensive
5271,,,7.0,5,1986,Gd,normal
9084,60.0,1Fam,5.0,6,1941,TA,cheap
8520,60.0,1Fam,6.0,8,1928,Gd,cheap
8400,60.0,1Fam,6.0,5,1940,Ex,normal
11249,105.0,1Fam,,5,1995,Ex,normal
9248,,1Fam,6.0,6,1992,Gd,normal
4224,44.0,TwnhsE,5.0,5,1976,TA,cheap
6930,92.0,1Fam,5.0,4,1958,Ex,cheap
12011,78.0,1Fam,8.0,5,1998,Ex,expensive
7540,,1Fam,6.0,6,1978,Ex,normal
